Country,Patents number,Year,ISO,GDP,Population,Patent per Capita,Disaster Type,Total Deaths,Total Affected,"Total Damage, Adjusted ('000 US$)",After Chock,is Thailand
thailand,0.5,1995,tha,2848.6224901096994,59424834.0,8.413990689481775e-09,storm,27.0,,,0,1
thailand,0.5,1995,tha,2848.6224901096994,59424834.0,8.413990689481775e-09,flood,231.0,4280984.0,269833.0,0,1
thailand,0.5,1996,tha,3039.892155981312,60211096.0,8.3041172344712e-09,storm,9.0,343386.0,279874.0,0,1
thailand,0.5,1996,tha,3039.892155981312,60211096.0,8.3041172344712e-09,flood,91.0,5000000.0,933.0,0,1
thailand,0.0,1997,tha,2462.4143443849985,60989108.0,0.0,storm,46.0,50394.0,72017.0,0,1
thailand,0.0,1997,tha,2462.4143443849985,60989108.0,0.0,flood,14.0,,,0,1
thailand,0.0,1997,tha,2462.4143443849985,60989108.0,0.0,storm,152.0,,9116.0,0,1
thailand,0.0,1999,tha,2028.5687796510276,62442651.0,0.0,flood,3.0,20000.0,,0,1
thailand,0.0,1999,tha,2028.5687796510276,62442651.0,0.0,flood,7.0,90700.0,22840.0,0,1
thailand,0.0,1999,tha,2028.5687796510276,62442651.0,0.0,flood,,862.0,,0,1
thailand,0.0,1999,tha,2028.5687796510276,62442651.0,0.0,flood,10.0,170000.0,,0,1
thailand,0.0,1999,tha,2028.5687796510276,62442651.0,0.0,flood,,200.0,469.0,0,1
thailand,0.0,1999,tha,2028.5687796510276,62442651.0,0.0,flood,2.0,2000.0,,0,1
thailand,0.0,1999,tha,2028.5687796510276,62442651.0,0.0,drought,,6000000.0,,0,1
thailand,0.0,2000,tha,2004.1070422559649,63066603.0,0.0,flood,,2500.0,,0,1
thailand,0.0,2000,tha,2004.1070422559649,63066603.0,0.0,flood,47.0,2500000.0,86760.0,0,1
thailand,0.0,2000,tha,2004.1070422559649,63066603.0,0.0,storm,2.0,41219.0,,0,1
thailand,0.0,2000,tha,2004.1070422559649,63066603.0,0.0,flood,51.0,808801.0,97722.0,0,1
thailand,0.0,2000,tha,2004.1070422559649,63066603.0,0.0,flood,9.0,12500.0,860.0,0,1
thailand,1.0,2001,tha,1889.971410798339,63649892.0,1.5710945746773614e-08,flood,83.0,4130.0,6611.0,0,1
thailand,1.0,2001,tha,1889.971410798339,63649892.0,1.5710945746773614e-08,flood,2.0,6000.0,,0,1
thailand,1.0,2001,tha,1889.971410798339,63649892.0,1.5710945746773614e-08,storm,,150.0,,0,1
thailand,1.0,2001,tha,1889.971410798339,63649892.0,1.5710945746773614e-08,flood,104.0,450109.0,40493.0,0,1
thailand,1.0,2001,tha,1889.971410798339,63649892.0,1.5710945746773614e-08,flood,,1000.0,,0,1
thailand,1.0,2001,tha,1889.971410798339,63649892.0,1.5710945746773614e-08,flood,,4000.0,,0,1
thailand,0.5,2002,tha,2091.178886895578,64222580.0,7.785423755943783e-09,storm,1.0,27704.0,3254.0,0,1
thailand,0.5,2002,tha,2091.178886895578,64222580.0,7.785423755943783e-09,storm,,2500.0,,0,1
thailand,0.5,2002,tha,2091.178886895578,64222580.0,7.785423755943783e-09,flood,,1500.0,,0,1
thailand,0.5,2002,tha,2091.178886895578,64222580.0,7.785423755943783e-09,flood,154.0,3289420.0,58290.0,0,1
thailand,0.5,2002,tha,2091.178886895578,64222580.0,7.785423755943783e-09,drought,,5000000.0,3742.0,0,1
thailand,0.5,2003,tha,2350.845514714805,64776956.0,7.718794319387284e-09,storm,,5000.0,,0,1
thailand,0.5,2003,tha,2350.845514714805,64776956.0,7.718794319387284e-09,flood,3.0,3000.0,39772.0,0,1
thailand,0.5,2003,tha,2350.845514714805,64776956.0,7.718794319387284e-09,flood,6.0,104700.0,2227.0,0,1
thailand,0.5,2003,tha,2350.845514714805,64776956.0,7.718794319387284e-09,flood,,,,0,1
thailand,0.25,2004,tha,2647.2607380685045,65311166.0,3.827829379129443e-09,storm,13.0,5050.0,,0,1
thailand,0.25,2004,tha,2647.2607380685045,65311166.0,3.827829379129443e-09,storm,1.0,4000.0,,0,1
thailand,0.25,2004,tha,2647.2607380685045,65311166.0,3.827829379129443e-09,flood,9.0,500000.0,,0,1
thailand,0.25,2004,tha,2647.2607380685045,65311166.0,3.827829379129443e-09,flood,2.0,2000.0,,0,1
thailand,0.25,2004,tha,2647.2607380685045,65311166.0,3.827829379129443e-09,flood,2.0,5000.0,271144.0,0,1
thailand,1.8333,2005,tha,2876.2457580329346,65821360.0,2.785266059528396e-08,storm,,1500.0,369.0,0,1
thailand,1.8333,2005,tha,2876.2457580329346,65821360.0,2.785266059528396e-08,wildfire,,,,0,1
thailand,1.8333,2005,tha,2876.2457580329346,65821360.0,2.785266059528396e-08,flood,21.0,119310.0,181325.0,0,1
thailand,1.8333,2005,tha,2876.2457580329346,65821360.0,2.785266059528396e-08,storm,10.0,2000.0,29971.0,0,1
thailand,1.8333,2005,tha,2876.2457580329346,65821360.0,2.785266059528396e-08,flood,55.0,700000.0,145360.0,0,1
thailand,1.8333,2005,tha,2876.2457580329346,65821360.0,2.785266059528396e-08,drought,,,629392.0,0,1
thailand,0.5,2006,tha,3343.785932193629,66319525.0,7.539257858074225e-09,flood,,2000.0,,0,1
thailand,0.5,2006,tha,3343.785932193629,66319525.0,7.539257858074225e-09,flood,116.0,342895.0,36293.0,0,1
thailand,0.5,2006,tha,3343.785932193629,66319525.0,7.539257858074225e-09,flood,164.0,2212413.0,14430.0,0,1
thailand,0.0,2007,tha,3934.690955740163,66826754.0,0.0,flood,38.0,,,0,1
thailand,0.0,2007,tha,3934.690955740163,66826754.0,0.0,flood,,1000.0,,0,1
thailand,0.0,2007,tha,3934.690955740163,66826754.0,0.0,flood,10.0,17000.0,,0,1
thailand,0.0,2007,tha,3934.690955740163,66826754.0,0.0,flood,2.0,100000.0,2117.0,0,1
thailand,0.0,2007,tha,3934.690955740163,66826754.0,0.0,flood,3.0,65000.0,,0,1
thailand,1.6667,2008,tha,4327.797517011968,67328239.0,2.4754843209251322e-08,storm,,1000.0,,0,1
thailand,1.6667,2008,tha,4327.797517011968,67328239.0,2.4754843209251322e-08,storm,,,,0,1
thailand,1.6667,2008,tha,4327.797517011968,67328239.0,2.4754843209251322e-08,flood,18.0,839573.0,21748.0,0,1
thailand,1.6667,2008,tha,4327.797517011968,67328239.0,2.4754843209251322e-08,flood,21.0,700000.0,15632.0,0,1
thailand,1.6667,2008,tha,4327.797517011968,67328239.0,2.4754843209251322e-08,flood,,32584.0,468.0,0,1
thailand,1.6667,2008,tha,4327.797517011968,67328239.0,2.4754843209251322e-08,drought,,10000000.0,,0,1
thailand,2.0,2009,tha,4154.18743212391,67813654.0,2.949258566718732e-08,flood,15.0,200000.0,,0,1
thailand,11.0,2010,tha,4996.372097600906,68270489.0,1.6112379098383198e-07,flood,258.0,8970653.0,445581.0,0,1
thailand,11.0,2010,tha,4996.372097600906,68270489.0,1.6112379098383198e-07,drought,,6482602.0,,0,1
thailand,18.5,2011,tha,5396.643526741124,68712846.0,2.692364103212957e-07,flood,64.0,716110.0,412430.0,1,1
thailand,18.5,2011,tha,5396.643526741124,68712846.0,2.692364103212957e-07,storm,18.0,1000000.0,,1,1
thailand,18.5,2011,tha,5396.643526741124,68712846.0,2.692364103212957e-07,flood,813.0,9500000.0,52041595.0,1,1
thailand,18.5,2011,tha,5396.643526741124,68712846.0,2.692364103212957e-07,drought,,,,1,1
thailand,18.3333,2012,tha,5748.632782269588,69157023.0,2.650967205456487e-07,flood,,235545.0,,1,1
thailand,18.3333,2012,tha,5748.632782269588,69157023.0,2.650967205456487e-07,drought,,12000000.0,1530.0,1,1
thailand,9.25,2013,tha,6041.134013479791,69578602.0,1.3294317123531744e-07,flood,,,121857.0,1,1
thailand,9.25,2013,tha,6041.134013479791,69578602.0,1.3294317123531744e-07,flood,61.0,3500000.0,605518.0,1,1
thailand,9.25,2013,tha,6041.134013479791,69578602.0,1.3294317123531744e-07,flood,23.0,15254.0,,1,1
thailand,15.0,2014,tha,5822.377723199376,69960943.0,2.1440534327846324e-07,extreme temperature,63.0,1000000.0,,1,1
thailand,15.0,2014,tha,5822.377723199376,69960943.0,2.1440534327846324e-07,flood,10.0,73260.0,12362.0,1,1
thailand,15.0,2014,tha,5822.377723199376,69960943.0,2.1440534327846324e-07,flood,,12000.0,,1,1
thailand,15.0,2014,tha,5822.377723199376,69960943.0,2.1440534327846324e-07,flood,4.0,27140.0,,1,1
thailand,15.0,2014,tha,5822.377723199376,69960943.0,2.1440534327846324e-07,flood,15.0,18888.0,,1,1
thailand,15.0,2014,tha,5822.377723199376,69960943.0,2.1440534327846324e-07,storm,,2000.0,,1,1
thailand,15.0,2014,tha,5822.377723199376,69960943.0,2.1440534327846324e-07,drought,,,,1,1
thailand,11.0,2015,tha,5708.794146621721,70294397.0,1.564847337690371e-07,storm,3.0,,693.0,1,1
thailand,11.0,2015,tha,5708.794146621721,70294397.0,1.564847337690371e-07,drought,,,4074649.0,1,1
thailand,29.5,2016,tha,5854.463852430793,70607037.0,4.1780538106987835e-07,extreme temperature,14.0,,,1,1
thailand,29.5,2016,tha,5854.463852430793,70607037.0,4.1780538106987835e-07,flood,4.0,204000.0,146323.0,1,1
thailand,29.5,2016,tha,5854.463852430793,70607037.0,4.1780538106987835e-07,flood,3.0,22500.0,,1,1
thailand,29.5,2016,tha,5854.463852430793,70607037.0,4.1780538106987835e-07,flood,14.0,582343.0,30484.0,1,1
thailand,21.3,2017,tha,6436.789649116389,70898202.0,3.004307499927854e-07,flood,96.0,1800000.0,1193926.0,1,1
thailand,21.3,2017,tha,6436.789649116389,70898202.0,3.004307499927854e-07,storm,,60.0,,1,1
thailand,21.3,2017,tha,6436.789649116389,70898202.0,3.004307499927854e-07,flood,23.0,1000000.0,366535.0,1,1
thailand,21.3,2017,tha,6436.789649116389,70898202.0,3.004307499927854e-07,storm,,28500.0,,1,1
thailand,21.3,2017,tha,6436.789649116389,70898202.0,3.004307499927854e-07,flood,9.0,605000.0,1671.0,1,1
thailand,21.3,2017,tha,6436.789649116389,70898202.0,3.004307499927854e-07,flood,22.0,385498.0,,1,1
thailand,21.0,2019,tha,7628.576086993664,71307763.0,2.944980899204481e-07,storm,7.0,720885.0,,1,1
thailand,21.0,2019,tha,7628.576086993664,71307763.0,2.944980899204481e-07,flood,19.0,158000.0,,1,1
thailand,21.0,2019,tha,7628.576086993664,71307763.0,2.944980899204481e-07,drought,,,,1,1
thailand,12.5,2020,tha,7001.785412557707,71475664.0,1.748846992173448e-07,storm,2.0,50502.0,11308.0,1,1
thailand,12.5,2020,tha,7001.785412557707,71475664.0,1.748846992173448e-07,storm,4.0,,,1,1
thailand,12.5,2020,tha,7001.785412557707,71475664.0,1.748846992173448e-07,flood,1.0,40000.0,,1,1
thailand,12.5,2020,tha,7001.785412557707,71475664.0,1.748846992173448e-07,storm,6.0,274923.0,,1,1
thailand,12.5,2020,tha,7001.785412557707,71475664.0,1.748846992173448e-07,storm,1.0,,,1,1
thailand,12.5,2020,tha,7001.785412557707,71475664.0,1.748846992173448e-07,flood,29.0,691659.0,56538.0,1,1
thailand,12.5,2020,tha,7001.785412557707,71475664.0,1.748846992173448e-07,flood,1.0,139000.0,,1,1
thailand,13.5,2021,tha,7060.897609416076,71601103.0,1.8854458149897495e-07,flood,4.0,175493.0,,1,1
thailand,13.5,2021,tha,7060.897609416076,71601103.0,1.8854458149897495e-07,storm,2.0,900.0,,1,1
thailand,13.5,2021,tha,7060.897609416076,71601103.0,1.8854458149897495e-07,flood,,325400.0,,1,1
thailand,13.5,2021,tha,7060.897609416076,71601103.0,1.8854458149897495e-07,flood,10.0,298900.0,638297.0,1,1
thailand,13.5,2021,tha,7060.897609416076,71601103.0,1.8854458149897495e-07,flood,,25001.0,,1,1
thailand,13.5,2021,tha,7060.897609416076,71601103.0,1.8854458149897495e-07,flood,,132900.0,,1,1
malaysia,0.0,1995,mys,4405.116763956343,20136888.0,0.0,wildfire,,3000.0,,0,0
malaysia,1.0,1996,mys,4874.819725200819,20689051.0,4.8334744788439066e-08,storm,270.0,4176.0,97023.0,0,0
malaysia,1.0,1996,mys,4874.819725200819,20689051.0,4.8334744788439066e-08,flood,,418.0,,0,0
malaysia,0.3333,1997,mys,4706.314912598817,21249178.0,1.5685312627151977e-08,wildfire,,,546962.0,0,0
malaysia,0.3333,1997,mys,4706.314912598817,21249178.0,1.5685312627151977e-08,storm,2.0,2115.0,1823.0,0,0
malaysia,0.5,1998,mys,3308.835652999352,21810542.0,2.2924693939288626e-08,wildfire,,,3591.0,0,0
malaysia,0.5,1998,mys,3308.835652999352,21810542.0,2.2924693939288626e-08,flood,,2500.0,,0,0
malaysia,0.5,1998,mys,3308.835652999352,21810542.0,2.2924693939288626e-08,drought,,5000.0,,0,0
malaysia,2.0,1999,mys,3538.3629928858745,22368655.0,8.941082957379422e-08,flood,1.0,2000.0,,0,0
malaysia,0.0,2000,mys,4087.562593493844,22945150.0,0.0,storm,,500.0,,0,0
malaysia,0.0,2000,mys,4087.562593493844,22945150.0,0.0,flood,12.0,8000.0,1700.0,0,0
malaysia,0.5,2001,mys,3941.122666213687,23542517.0,2.1238170922845674e-08,flood,,10000.0,,0,0
malaysia,0.5,2001,mys,3941.122666213687,23542517.0,2.1238170922845674e-08,flood,,5000.0,,0,0
malaysia,0.5,2001,mys,3941.122666213687,23542517.0,2.1238170922845674e-08,flood,,200.0,,0,0
malaysia,0.5,2001,mys,3941.122666213687,23542517.0,2.1238170922845674e-08,flood,11.0,18000.0,,0,0
malaysia,3.0,2002,mys,4177.10494176499,24142445.0,1.2426247631505426e-07,storm,2.0,155.0,,0,0
malaysia,7.0,2003,mys,4454.526763836562,24739411.0,2.8294933941636684e-07,flood,5.0,3000.0,,0,0
malaysia,7.0,2003,mys,4454.526763836562,24739411.0,2.8294933941636684e-07,flood,,2000.0,,0,0
malaysia,7.0,2003,mys,4454.526763836562,24739411.0,2.8294933941636684e-07,flood,3.0,13800.0,,0,0
malaysia,2.0,2004,mys,4924.338111265821,25333247.0,7.894763746629084e-08,flood,3.0,6900.0,,0,0
malaysia,2.0,2004,mys,4924.338111265821,25333247.0,7.894763746629084e-08,flood,,9138.0,,0,0
malaysia,2.0,2004,mys,4924.338111265821,25333247.0,7.894763746629084e-08,storm,,1000.0,,0,0
malaysia,2.0,2004,mys,4924.338111265821,25333247.0,7.894763746629084e-08,storm,1.0,40000.0,,0,0
malaysia,2.0,2004,mys,4924.338111265821,25333247.0,7.894763746629084e-08,flood,13.0,15000.0,15494.0,0,0
malaysia,2.0,2005,mys,5536.837970412456,25923536.0,7.714996904743242e-08,wildfire,,,,0,0
malaysia,2.0,2005,mys,5536.837970412456,25923536.0,7.714996904743242e-08,flood,4.0,600.0,,0,0
malaysia,2.0,2005,mys,5536.837970412456,25923536.0,7.714996904743242e-08,flood,9.0,30000.0,,0,0
malaysia,2.5,2006,mys,6137.150609674764,26509413.0,9.430612439438022e-08,flood,,1112.0,,0,0
malaysia,2.5,2006,mys,6137.150609674764,26509413.0,9.430612439438022e-08,flood,,4906.0,,0,0
malaysia,2.5,2006,mys,6137.150609674764,26509413.0,9.430612439438022e-08,flood,,500.0,,0,0
malaysia,2.5,2006,mys,6137.150609674764,26509413.0,9.430612439438022e-08,flood,6.0,100000.0,31938.0,0,0
malaysia,15.5,2007,mys,7143.999445559121,27092604.0,5.721118575386847e-07,flood,17.0,137533.0,853931.0,0,0
malaysia,15.5,2007,mys,7143.999445559121,27092604.0,5.721118575386847e-07,flood,29.0,29000.0,512359.0,0,0
malaysia,19.8333,2008,mys,8343.302548039552,27664296.0,7.169276962623593e-07,flood,,2000.0,,0,0
malaysia,19.8333,2008,mys,8343.302548039552,27664296.0,7.169276962623593e-07,flood,,6000.0,,0,0
malaysia,29.0,2009,mys,7167.8773758324705,28217204.0,1.0277417989393988e-06,flood,,1793.0,,0,0
malaysia,29.0,2009,mys,7167.8773758324705,28217204.0,1.0277417989393988e-06,flood,,9082.0,,0,0
malaysia,26.5,2011,mys,10209.371909401887,29184133.0,9.080276600987256e-07,flood,2.0,20000.0,,1,0
malaysia,46.1667,2013,mys,10727.670553305372,30134807.0,1.532005829670653e-06,flood,4.0,75000.0,2513.0,1,0
malaysia,41.3333,2014,mys,11045.580976532201,30606459.0,1.35047638147229e-06,flood,17.0,230000.0,351083.0,1,0
malaysia,41.3333,2014,mys,11045.580976532201,30606459.0,1.35047638147229e-06,drought,,2200000.0,,1,0
malaysia,30.0,2015,mys,9699.584908732164,31068833.0,9.655979032105904e-07,flood,1.0,3000.0,,1,0
malaysia,24.5,2016,mys,9555.647334786827,31526418.0,7.771260280822262e-07,flood,,6000.0,,1,0
malaysia,24.5,2016,mys,9555.647334786827,31526418.0,7.771260280822262e-07,flood,,441.0,,1,0
malaysia,24.5,2016,mys,9555.647334786827,31526418.0,7.771260280822262e-07,flood,,400.0,,1,0
malaysia,24.5,2016,mys,9555.647334786827,31526418.0,7.771260280822262e-07,flood,,25000.0,160955.0,1,0
malaysia,18.0,2017,mys,9979.704756841948,31975806.0,5.629256069416984e-07,flood,,5481.0,,1,0
malaysia,18.0,2017,mys,9979.704756841948,31975806.0,5.629256069416984e-07,flood,7.0,3500.0,,1,0
malaysia,18.0,2017,mys,9979.704756841948,31975806.0,5.629256069416984e-07,flood,2.0,13000.0,,1,0
malaysia,18.0,2017,mys,9979.704756841948,31975806.0,5.629256069416984e-07,storm,,426.0,,1,0
malaysia,17.5,2018,mys,11073.97859430062,32399271.0,5.401356098413449e-07,flood,,4900.0,,1,0
malaysia,17.5,2018,mys,11073.97859430062,32399271.0,5.401356098413449e-07,flood,2.0,12000.0,,1,0
malaysia,24.5,2019,mys,11132.103453205167,32804020.0,7.468596836607221e-07,flood,,1000.0,,1,0
malaysia,24.5,2019,mys,11132.103453205167,32804020.0,7.468596836607221e-07,flood,,2412.0,,1,0
malaysia,24.5,2019,mys,11132.103453205167,32804020.0,7.468596836607221e-07,flood,2.0,15000.0,,1,0
malaysia,24.5,2019,mys,11132.103453205167,32804020.0,7.468596836607221e-07,flood,,4065.0,,1,0
malaysia,22.5,2020,mys,10160.829346559214,33199993.0,6.777109862643646e-07,flood,,2000.0,,1,0
malaysia,22.5,2020,mys,10160.829346559214,33199993.0,6.777109862643646e-07,flood,,9000.0,7689.0,1,0
malaysia,22.5,2020,mys,10160.829346559214,33199993.0,6.777109862643646e-07,flood,,1210.0,,1,0
malaysia,22.5,2020,mys,10160.829346559214,33199993.0,6.777109862643646e-07,flood,,400.0,,1,0
malaysia,22.5,2020,mys,10160.829346559214,33199993.0,6.777109862643646e-07,flood,,9273.0,,1,0
malaysia,10.3333,2021,mys,11109.265288174653,33573874.0,3.0777800619612734e-07,flood,6.0,3000.0,,1,0
malaysia,10.3333,2021,mys,11109.265288174653,33573874.0,3.0777800619612734e-07,flood,,6000.0,,1,0
malaysia,10.3333,2021,mys,11109.265288174653,33573874.0,3.0777800619612734e-07,flood,8.0,23776.0,,1,0
malaysia,10.3333,2021,mys,11109.265288174653,33573874.0,3.0777800619612734e-07,flood,,5782.0,,1,0
malaysia,10.3333,2021,mys,11109.265288174653,33573874.0,3.0777800619612734e-07,flood,7.0,4828.0,,1,0
malaysia,10.3333,2021,mys,11109.265288174653,33573874.0,3.0777800619612734e-07,flood,2.0,255.0,,1,0
malaysia,10.3333,2021,mys,11109.265288174653,33573874.0,3.0777800619612734e-07,flood,,1000.0,,1,0
malaysia,10.3333,2021,mys,11109.265288174653,33573874.0,3.0777800619612734e-07,flood,56.0,120000.0,1576841.0,1,0
